date,ws,wd,air_temp,atmos_pres,RH,Y,M,W,D,pm
2021/7/7,2.035714286,196.4102564,27.65,1004.35,72.17485118,2021,7,27,188,22.48263889
2021/7/8,2.290909091,187.6923077,27.02142857,1002.2375,67.45519611,2021,7,27,189,12.54229798
2021/7/9,1.839285714,134.5454545,28.01607143,1001.5625,70.26713789,2021,7,27,190,16.17013889
2021/7/10,1.660714286,103.75,28.42142857,1002.4375,76.06156813,2021,7,27,191,29.73958333
2021/7/11,2.767857143,127.6470588,26.63035714,1002.775,83.45863077,2021,7,27,192,25.3125
2021/7/12,2.444642857,128.5,23.04285714,996.075,95.52585374,2021,7,28,193,4.449430043
2021/7/13,1.678571429,123.3333333,26.6375,997.525,87.29384215,2021,7,28,194,8.817460317
2021/7/14,1.642857143,123.5135135,27.87857143,1003.675,84.73269017,2021,7,28,195,20.45833333
2021/7/15,2.303571429,127.2,28.375,1008.625,79.08873913,2021,7,28,196,25.52083333
2021/7/16,2.017857143,97.44186047,26.91071429,1009.4125,82.03922646,2021,7,28,197,17.47569444
2021/7/17,2.571428571,99.62264151,26.54642857,1008.6875,84.52464895,2021,7,28,198,13.06944444
2021/7/18,1.421428571,123.375,25.54642857,1008.925,92.49125072,2021,7,28,199,16.68402778
2021/7/19,1.696428571,102.3076923,26.23214286,1010.175,84.31087803,2021,7,29,200,15.84224034
2021/7/20,1.678571429,120.6976744,27.30535714,1011.4625,79.58440171,2021,7,29,201,18.82971014
2021/7/21,1.803571429,107,27.1,1011.2375,83.99616694,2021,7,29,202,16.80208333
2021/7/22,1.660377358,198.8235294,24.85178571,1009.975,88.0824744,2021,7,29,203,14.14583333
2021/7/23,2.178571429,151.0638298,27.65,1007.625,75.18741255,2021,7,29,204,14.60869565
2021/7/24,2.410714286,154.3396226,29.08035714,1005.5875,76.02811987,2021,7,29,205,26.05555556
2021/7/25,3.303571429,152.1428571,29.41964286,1001.8,74.87849232,2021,7,29,206,30.47826087
2021/7/26,2.482142857,120.6,27.49642857,1000.525,84.79305659,2021,7,30,207,29.67753623
2021/7/27,1.563636364,80,24.88035714,1003.2,92.45016805,2021,7,30,208,10.67708333
2021/7/28,1.321428571,185.9375,26.39285714,1002.925,86.80515393,2021,7,30,209,11.57986111
2021/7/29,2.732142857,289.4339623,22.94821429,999.325,92.95666698,2021,7,30,210,10.09027778
2021/7/30,2.378181818,173.7391304,24.65357143,995.0375,83.19456866,2021,7,30,211,6.444444444
2021/7/31,2.218181818,198.8636364,29.06428571,995.55,70.9849796,2021,7,30,212,14.9375
2021/8/1,3.682142857,307.4444444,27.5875,1001.1125,55.23691577,2021,8,30,213,4.938988095
2021/8/2,2.428571429,187.0588235,28.11785714,1004.5125,56.80521488,2021,8,31,214,4.046044686
2021/8/3,2.410714286,152.1568627,27.44107143,1005.375,72.29897081,2021,8,31,215,15.05434783
2021/8/4,2.589285714,137.5,27.54107143,1003.1875,78.13938945,2021,8,31,216,28.61594203
2021/8/5,2.232142857,183.0232558,25.08035714,1002.85,78.94979684,2021,8,31,217,24.34375
2021/8/6,1.618181818,191.3953488,26.68571429,1002.9375,70.93157663,2021,8,31,218,24.01041667
2021/8/7,1.464285714,147.6470588,27.87321429,1004.8375,73.73784909,2021,8,31,219,40.33333333
2021/8/8,2.214285714,176.5,26.86964286,1005.1125,78.49195112,2021,8,31,220,40.26736111
2021/8/9,2.392857143,200.7317073,24.16607143,1003.575,81.20770445,2021,8,32,221,16.11710526
2021/8/10,1.709090909,145.8823529,27.26785714,1005.725,72.25194689,2021,8,32,222,16.92857143
2021/8/11,1.625,105.8333333,26.5125,1010.575,73.56248176,2021,8,32,223,30.39930556
2021/8/12,2.160714286,134.2592593,25.8625,1011,78.5697052,2021,8,32,224,25.87152778
2021/8/13,2.694642857,134.9074074,25.57857143,1009.25,78.46535095,2021,8,32,225,20.98263889
2021/8/14,2.107142857,145.7777778,24.39464286,1010.5125,84.63262798,2021,8,32,226,21.77430556
2021/8/15,1.767857143,117.5,23.68214286,1012.7375,89.74140605,2021,8,32,227,19.84027778
2021/8/16,1.803571429,163.1818182,23.78214286,1013.0875,85.28490244,2021,8,33,228,22.35391963
2021/8/17,2.059259259,202.5681818,25.26607143,1012.8375,70.34606759,2021,8,33,229,9.099206349
2021/8/18,1.875,170.4166667,25.94642857,1010.15,70.37883488,2021,8,33,230,14.39912281
2021/8/19,1.303571429,171.4285714,20.50714286,1008.3375,96.23980695,2021,8,33,231,14.58680556
2021/8/20,1.75,196.3636364,24.72142857,1005.9875,79.40345784,2021,8,33,232,8.152626812
2021/8/21,2.169642857,170.106383,26.60535714,1004.2,63.64088739,2021,8,33,233,10.51041667
2021/8/22,2.089285714,141.9565217,26.80714286,1002.925,82.10655818,2021,8,33,234,33.65277778
2021/8/23,3.517857143,222.6923077,24.52678571,1002.3375,75.26193356,2021,8,34,235,25.83680556
2021/8/24,3.517857143,259.0384615,23.65357143,999.15,52.20376309,2021,8,34,236,8.511528327
2021/8/25,3.928571429,259.0909091,24.46428571,1003.05,48.35668033,2021,8,34,237,5.197916667
2021/8/26,3.611111111,291.7021277,23.3,1009.4125,61.22688652,2021,8,34,238,4.726190476
2021/8/27,2.690909091,273.6,23.82857143,1011.3375,63.49161428,2021,8,34,239,8.03125
2021/8/28,1.927272727,242.2727273,22.56607143,1012.8875,71.78483029,2021,8,34,240,8.78125
2021/8/29,1.981481481,174.8837209,23.85892857,1013.8,74.15852626,2021,8,34,241,16.31944444
2021/8/30,1.363636364,105.2631579,24.3875,1015.4125,77.62234169,2021,8,35,242,26.35884662
2021/8/31,1.707407407,166.9117647,22.525,1015.2625,79.15129122,2021,8,35,243,22.84375
2021/9/1,1.785714286,147.2093023,23.80535714,1012.25,73.46062279,2021,9,35,244,15.90006039
2021/9/2,1.948214286,172.5833333,24.40178571,1007.75,72.29889203,2021,9,35,245,21.22569444
2021/9/3,1.789285714,125.9361702,26.07142857,1008.325,74.83148083,2021,9,35,246,27.84027778
2021/9/4,1.605357143,115.8461538,21.11785714,1013.5375,93.66304855,2021,9,35,247,23.47569444
2021/9/5,2.4,270.2173913,21.56071429,1017.9625,86.86291043,2021,9,35,248,14.04861111
2021/9/6,2.471698113,184.6511628,18.40178571,1017.3625,83.29833314,2021,9,36,249,4.407608696
2021/9/7,2.690909091,185.3488372,22.27142857,1011.0125,72.96629809,2021,9,36,250,10.83680556
2021/9/8,1.6,162.5,23.0875,1007.5,81.66691244,2021,9,36,251,20.59375
2021/9/9,1.854545455,206.1363636,21.75178571,1008.125,85.18562682,2021,9,36,252,33.7834596
2021/9/10,1.690909091,149.7435897,24.92678571,1008.9875,79.85009359,2021,9,36,253,32.84027778
2021/9/11,1.785714286,138.8235294,25.74642857,1009.375,79.3045016,2021,9,36,254,44.04861111
2021/9/12,1.535714286,117.8571429,21.89642857,1014.3875,78.49578775,2021,9,36,255,27.31702899
2021/9/13,1.642857143,110.2391304,24.35,1017.4875,79.23038224,2021,9,37,256,17.04438406
2021/9/14,1.259259259,87.5,22.21607143,1020.025,79.31780973,2021,9,37,257,19.72222222
2021/9/15,1.625,172.3913043,21.96785714,1016.2,77.21134718,2021,9,37,258,18.25
2021/9/16,1.758928571,194.9347826,20.125,1015.375,85.29139984,2021,9,37,259,16.15277778
2021/9/17,1.6875,234.5121951,20.66607143,1015.2875,65.59262028,2021,9,37,260,8.888888889
2021/9/18,1.725,158.2272727,21.55714286,1016.35,76.10551329,2021,9,37,261,18.96180556
2021/9/19,2.383928571,175.525,17.65714286,1013.175,94.16394364,2021,9,37,262,20.69097222
